year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,5,m,19.09,217,158.8,NA,-1.7558,NA
1996,5,m,18.62,217,158.8,NA,-1.7558,NA
1996,5,f,18.77,217,158.8,NA,-1.7558,NA
1996,5,f,18.55,217,158.8,NA,-1.7558,NA
1996,5,f,18.93,217,158.8,NA,-1.7558,NA
1996,5,f,17.85,217,158.8,NA,-1.7558,NA
1996,5,m,19.42,217,158.8,NA,-1.7558,NA
1996,5,m,18.5,217,158.8,NA,-1.7558,NA
1996,5,f,18.89,217,158.8,NA,-1.7558,NA
1996,5,f,18.24,224,158.8,NA,-1.7558,NA
1996,5,f,18.35,224,158.8,NA,-1.7558,NA
1996,5,f,17.55,224,158.8,NA,-1.7558,NA
1996,5,f,20.16,224,158.8,NA,-1.7558,NA
1996,5,f,19.46,224,158.8,NA,-1.7558,NA
1996,5,m,17.19,224,158.8,NA,-1.7558,NA
1996,5,f,18.48,224,158.8,NA,-1.7558,NA
1996,5,f,19.78,224,158.8,NA,-1.7558,NA
1996,5,f,19.6,224,158.8,NA,-1.7558,NA
1996,5,m,18.3,224,158.8,NA,-1.7558,NA
1996,5,m,18.73,224,158.8,NA,-1.7558,NA
1996,5,m,17.67,224,158.8,NA,-1.7558,NA
1996,5,f,19.48,224,158.8,NA,-1.7558,NA
1996,5,f,19.73,224,158.8,NA,-1.7558,NA
1996,5,f,18.64,224,158.8,NA,-1.7558,NA
1996,5,m,18.02,224,158.8,NA,-1.7558,NA
1996,5,m,17.87,224,158.8,NA,-1.7558,NA
1996,5,f,18.56,224,158.8,NA,-1.7558,NA
1996,5,m,18.23,224,158.8,NA,-1.7558,NA
1996,5,f,17.29,224,158.8,NA,-1.7558,NA
1996,5,f,18.78,231,158.8,NA,-1.7558,NA
1996,5,f,19.55,231,158.8,NA,-1.7558,NA
1996,5,f,18.79,231,158.8,NA,-1.7558,NA
1996,5,f,20.75,231,158.8,NA,-1.7558,NA
1996,5,f,19.37,231,158.8,NA,-1.7558,NA
1996,5,m,19.43,231,158.8,NA,-1.7558,NA
1996,5,f,20.24,231,158.8,NA,-1.7558,NA
1996,5,f,19.12,231,158.8,NA,-1.7558,NA
1996,5,f,20.72,231,158.8,NA,-1.7558,NA
1996,5,f,19.62,231,158.8,NA,-1.7558,NA
1996,5,m,17.47,231,158.8,NA,-1.7558,NA
1996,5,f,19.71,231,158.8,NA,-1.7558,NA
1996,5,f,19,231,158.8,NA,-1.7558,NA
1996,5,f,19,231,158.8,NA,-1.7558,NA
1996,5,m,18.42,231,158.8,NA,-1.7558,NA
1996,5,f,18.67,231,158.8,NA,-1.7558,NA
1996,5,f,19.05,231,158.8,NA,-1.7558,NA
1996,5,f,19.33,231,158.8,NA,-1.7558,NA
1996,5,m,19.02,231,158.8,NA,-1.7558,NA
1996,5,f,19.24,231,158.8,NA,-1.7558,NA
1996,5,f,19.69,231,158.8,NA,-1.7558,NA
1996,5,m,16.86,231,158.8,NA,-1.7558,NA
1996,5,f,19.66,231,158.8,NA,-1.7558,NA
1996,6,m,18.45,189,158.8,NA,-1.7558,NA
1996,6,m,18.42,196,158.8,NA,-1.7558,NA
1996,6,m,17.86,203,158.8,NA,-1.7558,NA
1996,6,m,18.18,203,158.8,NA,-1.7558,NA
1996,6,f,19.56,203,158.8,NA,-1.7558,NA
1996,6,m,18.02,203,158.8,NA,-1.7558,NA
1996,6,m,18.16,203,158.8,NA,-1.7558,NA
1996,6,m,18.58,203,158.8,NA,-1.7558,NA
1996,6,f,18.81,203,158.8,NA,-1.7558,NA
1996,6,m,16.13,203,158.8,NA,-1.7558,NA
1996,6,m,16.48,203,158.8,NA,-1.7558,NA
1996,6,m,18.39,203,158.8,NA,-1.7558,NA
1996,6,m,17.88,203,158.8,NA,-1.7558,NA
1996,6,m,18,203,158.8,NA,-1.7558,NA
1996,6,m,17.77,203,158.8,NA,-1.7558,NA
1996,6,m,19.08,203,158.8,NA,-1.7558,NA
1996,6,m,17.59,203,158.8,NA,-1.7558,NA
1996,6,m,17.87,203,158.8,NA,-1.7558,NA
1996,6,m,18.6,203,158.8,NA,-1.7558,NA
1996,6,m,19.19,203,158.8,NA,-1.7558,NA
1996,6,m,17.77,203,158.8,NA,-1.7558,NA
1996,6,m,18.94,203,158.8,NA,-1.7558,NA
1996,6,m,18.12,203,158.8,NA,-1.7558,NA
1996,6,m,18.37,203,158.8,NA,-1.7558,NA
1996,6,f,18.95,203,158.8,NA,-1.7558,NA
1996,6,m,17.49,203,158.8,NA,-1.7558,NA
1996,6,m,18.66,203,158.8,NA,-1.7558,NA
1996,6,m,18.5,203,158.8,NA,-1.7558,NA
1996,6,m,19.06,210,158.8,NA,-1.7558,NA
1996,6,m,17.95,210,158.8,NA,-1.7558,NA
1996,6,m,18.76,210,158.8,NA,-1.7558,NA
1996,6,m,18.79,210,158.8,NA,-1.7558,NA
1996,6,m,18.11,210,158.8,NA,-1.7558,NA
